-1	I	/aɪ/, [aɪ̯], [aː], [ɑe̯] (letter name)
0	a	/ˈeɪ/, /ˈæɪ/ (letter name);/æ/, /ɑː/, /eɪ/ (phoneme);/ˈeɪ/ (stressed);/ə/ (unstressed)
1	the	/ˈðiː/ (stressed);/ˈðʌ/ (variant, preconsonantal);/ði/, /ðɪ/ (unstressed and prevocalic);/ðə/ (unstressed and preconsonantal)
2	of	/ɒv/, /ɔv/, /ʌv/ (stressed);/əv/, (before a consonant) /ə/, /ʌv/ (unstressed)
3	and	/ænd/, /ɛnd/ (stressed);/ənd/, /ən/, /æn/, /ɛn/, /ɛnd/, /n̩d/, /n̩/ (unstressed)
4	in	/ɪn/, /ɘn/ (stressed);/ɪn/, /ən/, /ɘn/ (unstressed)
5	to	/tuː/, [tʰu̟ː], /tu/, [tʰu̟], /tʉː/, [tʰʉː] (stressed);/tə/, [ɾə], /tʊ/, [ɾʊ] (unstressed);/t̪oː/ (chiefly North India)
6	was	/wɒz/, /wʌz/, /wɑz/, /wɔz/ (stressed);/wəz/ (unstressed)
7	is	/ɪz/, /ɘz/
8	for	/fɔː(ɹ)/, /fɔɹ/, /foː(ɹ)/ (stressed);/fə(ɹ)/, /fɘ(ɹ)/, /fɚ/, /fə/ (unstressed)
9	on	/ɒn/, /ɔn/, /ɔʊn/, /ɑn/
10	as	/æz/ (stressed);/əz/ (unstressed);/ˈæs/, /ˈæz/
11	with	/wɪð/, /wɪθ/, /wɪi/, /wɪv/, /wɪt/, /wəθ/, /wəð/ (preconsonantal, final);/wɪð/, /wɪθ/, /wəθ/, /wəð/ (prevocalic)
12	by	/baɪ/
13	he	/ˈhiː/ (stressed);/hi/, /i/ (unstressed);/hi/, [hi], [çi]
14	that	/ˈðæt/, /ˈðɛt/ (stressed);/ˈd̪æt/, /ˈd̪ɛt/, /ˈd̪æʈ/, /ˈd̪ʱæʈ/ (stressed, India);/ðət/ (unstressed)
15	at	/æt/ (stressed);/ət/ (unstressed)
16	from	/fɹɒm/, /fɹʌm/ (stressed);/fɹəm/ (unstressed)
17	his	/ˈhɪz/, /ˈhɘz/ (stressed);/əz/ (unstressed)
18	it	/ɪt/, /ɘt/ (stressed);/ɪt/, [ɪ̈t], [ɪt], /ət/, /ɘt/ (unstressed)
19	an	/ˈæn/, [ˈɛən] (stressed);/ən/ (unstressed)
20	were	/wɜː(ɹ)/, /wɛə(ɹ)/, /wɝ/, /wɑːɹ/ (stressed);/wə(ɹ)/, /wɚ/ (unstressed)
22	which	/wɪt͡ʃ/, /ʍɪt͡ʃ/
23	are	/ɑː(ɹ)/, /ɑɹ/, /ɐː(ɹ)/, /aː(ɹ)/, /aɹ/, /äːɹ/, /ɛə(ɹ)/, /ɛː(ɹ)/, /aʊɚ/, /aʊə/ (stressed);/ə(ɹ)/, /ɚ/ (unstressed);/ɛə/, /ɛː/, /ɛəɹ/, /ɛɹ/, /ɑː(ɹ)/
24	this	/ðɪs/, /ðəs/
25	also	/ˈɔːl.səʊ/, /ˈɔl.soʊ/, /ˈɑl.soʊ/
26	be	/biː/, /bi/ (verb);/bi/, /bə/, /bɪ/, /bɛ/ (preposition)
